first name,last name,username,birthday,picture,room,addresses,phone numbers,emails,relationships,pets,meals,allergies,dietary restrictions
BENEDICT,MARTINEZ,martinezb0,2004-07-06,profile_pictures\pic3.png,Room 1,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(815) 825-6662;(874) 381-4941","uj@orkimfah.com;pivop@wewjur.com;pivop@wewjur.com","ORVILLE, LEE, Father, 1989-07-21;AARON, MARTINEZ, Daughter-in-Law, 1943-02-04;NOLAN, SCOTT, Mother, 2007-07-06;ODIS, SMITH, Daughter-in-Law, 1968-11-15;BARRY, HALL, Son-in-Law, 1943-07-06;FRITZ, JACKSON, Daughter, 2007-11-07;ABRAHAM, SMITH, Mother, 1946-08-07;ADALBERTO, JOHNSON, Son-in-Law, 1986-05-20;NORRIS, TURNER, Sister, 1964-10-23","Max, Dog;Rocky, Fish;Buddy, Cat;Buddy, Dog;Buddy, Fish;Max, Dog;Bob, Fish;Lucy, Fish;Bob, Dog","Pizza, 10, ;Pizza, 5, ;Pizza, 9, ;Pizza, 6, ;Wings, 6, ;Wings, 4, ;Wings, 4, ;Jollof, 10, ;Wings, 10, ","", "", ""
HERIBERTO,SANCHEZ,sanchezh1,1936-04-14,profile_pictures\pic1.jpg,Room 3,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(367) 226-2040;(561) 742-3921","johu@codovo.org;fapet@go.edu;hohzavi@paw.edu","NOLAN, WARD, Mother, 1946-01-10;RAPHAEL, THOMAS, Son, 1990-12-24","Lucy, Dog;Bob, Fish","Mac & Cheese, 10, ;Wings, 8, ","", "", ""
BRANDEN,WARD,wardb4,1993-09-05,profile_pictures\pic3.png,Room 3,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(500) 244-7083;(838) 727-6573","uj@orkimfah.com;isi@tidur.org;tifinpim@za.io","YONG, WRIGHT, Daughter, 1986-12-09","Max, Fish","Pizza, 7, ","", "", ""
OSVALDO,THOMAS,thomaso1,1931-01-23,profile_pictures\pic3.png,Room 12,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(943) 570-2414;(367) 226-2040","uj@orkimfah.com;lad@kupez.gov;me@udaga.net","GEOFFREY, THOMAS, Father, 1964-10-26;MOHAMED, MARTINEZ, Father, 1932-09-14","Lucy, Cat;Rocky, Cat","Wings, 6, ;Wings, 6, ","", "", ""
IRWIN,MITCHELL,mitchelli1,1982-06-06,profile_pictures\pic1.jpg,Room 20,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(561) 742-3921;(943) 570-2414","nashulu@it.gov;mewso@necuwnuk.io;hohzavi@paw.edu","NOEL, SCOTT, Son-in-Law, 2000-09-07;NORMAN, CARTER, Daughter-in-Law, 1936-05-25;NORBERTO, COX, Daughter, 1982-09-06;ISAIAH, WALKER, Daughter, 2001-01-18;CEDRICK, WARD, Daughter, 2007-07-03","Rocky, Fish;Lucy, Cat;Lucy, Dog;Bob, Cat;Rocky, Dog","Wings, 2, ;Pizza, 4, ;Wings, 1, ;Jollof, 1, ;Pizza, 6, ","", "", ""
GENARO,SANCHEZ,sanchezg0,1935-01-15,profile_pictures\pic2.jpg,Room 14,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(561) 742-3921;(874) 381-4941","uj@orkimfah.com;uj@orkimfah.com;nashulu@it.gov","GENE, HALL, Son-in-Law, 1982-05-22;BEAU, WALKER, Mother, 1960-10-16;ZACK, JACKSON, Son-in-Law, 1955-09-12;RANDELL, WARD, Son-in-Law, 1948-10-24;Henry, SCOTT, Daughter, 1935-02-19","Lucy, Fish;Lucy, Cat;Buddy, Cat;Max, Dog;Rocky, Dog","Wings, 5, ;Wings, 4, ;Wings, 6, ;Mac & Cheese, 8, ;Mac & Cheese, 8, ","", "", ""
ABRAM,JOHNSON,johnsona1,2006-09-26,profile_pictures\pic1.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(500) 244-7083;(838) 727-6573","nashulu@it.gov;pivop@wewjur.com;opwankiw@seiteevo.io","JESS, RICHARDSON, Daughter-in-Law, 1992-10-22;ZACK, PEREZ, Son-in-Law, 2001-09-18","Buddy, Cat;Max, Cat","Pizza, 6, ;Mac & Cheese, 4, ","", "", ""
ABRAHAM,ROBERTS,robertsa0,1989-09-17,profile_pictures\pic1.jpg,Room 12,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(815) 825-6662;(741) 951-5271","pivop@wewjur.com;motjeni@muvu.io;nashulu@it.gov","RANDELL, KING, Daughter, 1995-12-17;WYATT, ROBERTS, Daughter, 1972-11-04","Bob, Fish;Rocky, Cat","Mac & Cheese, 2, ;Jollof, 1, ","", "", ""
ABEL,SCOTT,scotta3,1937-12-27,profile_pictures\pic2.jpg,Room 12,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(874) 381-4941;(784) 287-1076","tifinpim@za.io;uggako@filse.net;fapet@go.edu","JESS, JOHNSON, Sister, 1950-07-25;JESS, LEE, Son-in-Law, 1947-12-26;HERIBERTO, PHILLIPS, Father, 1951-12-27","Rocky, Fish;Lucy, Fish;Rocky, Dog","Jollof, 2, ;Jollof, 6, ;Wings, 5, ","", "", ""
IRVING,GREEN,greeni1,1981-06-17,profile_pictures\pic1.jpg,Room 10,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(815) 825-6662;(838) 727-6573","lad@kupez.gov;gunob@moahu.net;setosuf@oti.org","CESAR, JACKSON, Son-in-Law, 1986-08-12;RAPHAEL, BAKER, Son-in-Law, 1945-04-03;MOHAMED, YOUNG, Daughter-in-Law, 1967-03-02;Henry, BAKER, Daughter-in-Law, 1982-11-13;ODELL, THOMAS, Son, 1937-10-01;RANDY, LEE, Sister, 1959-10-27;GABRIEL, RICHARDSON, Daughter-in-Law, 1939-05-10;ABRAM, GREEN, Father, 1951-09-17","Buddy, Dog;Rocky, Dog;Rocky, Cat;Max, Dog;Bob, Dog;Bob, Dog;Bob, Fish;Bob, Fish","Mac & Cheese, 9, ;Wings, 7, ;Jollof, 5, ;Wings, 9, ;Pizza, 2, ;Pizza, 10, ;Pizza, 6, ;Pizza, 6, ","", "", ""
BART,WARD,wardb4,1962-03-23,profile_pictures\pic3.png,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(784) 287-1076;(500) 244-7083","lad@kupez.gov;hohzavi@paw.edu;lad@kupez.gov","ABDUL, ROBERTS, Daughter-in-Law, 1971-01-11;GENARO, ROBERTS, Sister, 1971-07-17;ABRAHAM, TURNER, Son-in-Law, 2005-12-19;ADAM, WRIGHT, Mother, 1980-08-13;YONG, SANCHEZ, Father, 1972-11-07","Lucy, Fish;Rocky, Dog;Max, Cat;Lucy, Cat;Rocky, Cat","Wings, 5, ;Pizza, 3, ;Jollof, 3, ;Pizza, 7, ;Mac & Cheese, 9, ","", "", ""
ZANE,SMITH,smithz2,1995-03-03,profile_pictures\pic2.jpg,Room 18,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(741) 951-5271;(943) 570-2414","kenna@vecbu.com;me@udaga.net;opwankiw@seiteevo.io","CORTEZ, MARTINEZ, Son-in-Law, 1937-02-26;BRANT, KING, Son, 1985-04-27;NORBERT, EVANS, Mother, 1986-08-01;NORBERT, MARTINEZ, Mother, 1953-02-12","Max, Cat;Rocky, Fish;Max, Fish;Buddy, Dog","Mac & Cheese, 9, ;Pizza, 9, ;Wings, 1, ;Wings, 8, ","", "", ""
CESAR,DIAZ,diazc0,1963-01-09,profile_pictures\pic3.png,Room 18,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(874) 381-4941;(741) 951-5271;(838) 727-6573","motjeni@muvu.io;mewso@necuwnuk.io;pivop@wewjur.com","OSVALDO, EVANS, Son, 1942-09-26;CEDRICK, WALKER, Mother, 1974-10-09;NEIL, RICHARDSON, Son-in-Law, 1945-09-03;DOUGLASS, HALL, Daughter-in-Law, 1978-09-03;GEORGE, HALL, Daughter-in-Law, 1937-02-02;JESS, TURNER, Sister, 1956-05-20;RAPHAEL, ROBERTS, Sister, 1987-02-12;DOYLE, WALKER, Father, 1952-08-10","Buddy, Cat;Lucy, Dog;Max, Dog;Lucy, Fish;Bob, Fish;Max, Cat;Buddy, Fish;Bob, Dog","Pizza, 5, ;Wings, 10, ;Pizza, 5, ;Wings, 10, ;Jollof, 10, ;Wings, 3, ;Pizza, 4, ;Wings, 10, ","", "", ""
NEIL,THOMAS,thomasn1,1931-01-18,profile_pictures\pic3.png,Room 8,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(838) 727-6573;(367) 226-2040","fapet@go.edu;uj@orkimfah.com;pivop@wewjur.com","GABRIEL, WARD, Daughter-in-Law, 1951-07-23;DEREK, THOMAS, Daughter-in-Law, 1998-05-22;JEFFERSON, SCOTT, Sister, 1932-02-01","Max, Fish;Rocky, Dog;Buddy, Fish","Jollof, 2, ;Jollof, 2, ;Pizza, 5, ","", "", ""
CEDRIC,JOHNSON,johnsonc1,1944-05-16,profile_pictures\pic1.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(815) 825-6662;(784) 287-1076","kenna@vecbu.com;opwankiw@seiteevo.io;mewso@necuwnuk.io","NORMAND, TURNER, Father, 1994-02-02","Buddy, Cat","Pizza, 3, ","", "", ""
CHADWICK,EVANS,evansc1,2003-09-11,profile_pictures\pic3.png,Room 1,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(874) 381-4941;(500) 244-7083","lad@kupez.gov;fuivif@daunen.gov;setosuf@oti.org","ABRAHAM, JACKSON, Son-in-Law, 1932-05-10;NED, BAKER, Mother, 1950-07-07;CEDRICK, ROBERTS, Daughter-in-Law, 1951-06-09;BEN, CAMPBELL, Son, 1952-06-06;ZACKARY, YOUNG, Daughter, 1969-04-09;BARTON, EVANS, Mother, 1964-09-09;IRVING, HALL, Sister, 1983-09-22;YOUNG, MARTINEZ, Son, 1935-02-02;ODIS, WARD, Daughter-in-Law, 1941-04-21","Bob, Fish;Max, Cat;Lucy, Dog;Rocky, Dog;Max, Fish;Buddy, Fish;Buddy, Fish;Bob, Fish;Max, Fish","Pizza, 8, ;Mac & Cheese, 9, ;Mac & Cheese, 2, ;Mac & Cheese, 8, ;Wings, 10, ;Pizza, 9, ;Pizza, 7, ;Pizza, 1, ;Jollof, 4, ","", "", ""
RANDOLPH,CARTER,carterr1,1942-11-09,profile_pictures\pic1.jpg,Room 13,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(874) 381-4941;(561) 742-3921","hohzavi@paw.edu;uj@orkimfah.com;fapet@go.edu","CHADWICK, BAKER, Mother, 1992-01-27;ABRAM, JACKSON, Sister, 1990-05-05","Bob, Fish;Buddy, Fish","Mac & Cheese, 6, ;Wings, 5, ","", "", ""
NOEL,GREEN,greenn3,1973-08-17,profile_pictures\pic2.jpg,Room 7,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(784) 287-1076;(943) 570-2414","uj@orkimfah.com;setosuf@oti.org;uggako@filse.net","ADAM, HALL, Son, 1963-10-23;HERIBERTO, PEREZ, Daughter-in-Law, 1979-11-18;ODELL, MITCHELL, Son-in-Law, 1999-08-13;BART, JOHNSON, Mother, 1987-08-19;ABEL, DIAZ, Sister, 1989-01-14;BRENDAN, DIAZ, Sister, 1978-11-20;HERIBERTO, DIAZ, Daughter-in-Law, 1944-03-03","Lucy, Fish;Bob, Cat;Buddy, Cat;Bob, Fish;Lucy, Dog;Buddy, Fish;Bob, Fish","Jollof, 7, ;Mac & Cheese, 2, ;Mac & Cheese, 6, ;Mac & Cheese, 6, ;Pizza, 10, ;Pizza, 7, ;Pizza, 5, ","", "", ""
RANDOLPH,TURNER,turnerr0,1939-07-16,profile_pictures\pic1.jpg,Room 14,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(943) 570-2414;(815) 825-6662","nupedu@ta.edu;juh@antof.com;nupedu@ta.edu","GAIL, MITCHELL, Son-in-Law, 1947-05-02;ABEL, YOUNG, Son, 1971-03-27;RANDOLPH, ROBERTS, Son, 1977-06-06;ORVILLE, BAKER, Daughter, 1956-10-03","Rocky, Cat;Rocky, Dog;Buddy, Dog;Buddy, Fish","Mac & Cheese, 6, ;Wings, 3, ;Mac & Cheese, 5, ;Mac & Cheese, 8, ","", "", ""
DOYLE,ALLEN,allend2,1978-03-15,profile_pictures\pic2.jpg,Room 16,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(500) 244-7083;(367) 226-2040","uj@orkimfah.com;johu@codovo.org;isi@tidur.org","","","","", "", ""
RANDELL,SANCHEZ,sanchezr1,1997-09-21,profile_pictures\pic1.jpg,Room 3,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(500) 244-7083;(500) 244-7083","uggako@filse.net;nupedu@ta.edu;me@udaga.net","BRANDEN, EVANS, Mother, 1943-10-25;JESS, JACKSON, Son, 2008-03-15;JESS, LEE, Father, 1931-05-14;ABDUL, ROBERTS, Father, 2002-07-20","Max, Dog;Rocky, Fish;Buddy, Dog;Lucy, Fish","Pizza, 1, ;Mac & Cheese, 5, ;Jollof, 8, ;Pizza, 8, ","", "", ""
DONNIE,KING,kingd0,1987-02-19,profile_pictures\pic1.jpg,Room 3,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(741) 951-5271;(500) 244-7083;(815) 825-6662","pivop@wewjur.com;lad@kupez.gov;isi@tidur.org","ABE, LEE, Mother, 1959-05-18;NORMAN, RICHARDSON, Sister, 1945-03-18;CORTEZ, GREEN, Daughter, 2005-01-05;OLIN, SCOTT, Daughter-in-Law, 2000-11-20;ZANE, THOMAS, Daughter, 1962-07-22;IRWIN, EVANS, Father, 1940-06-22;RANDOLPH, PHILLIPS, Son-in-Law, 1943-12-17","Rocky, Cat;Buddy, Fish;Buddy, Dog;Bob, Fish;Bob, Dog;Lucy, Dog;Max, Fish","Wings, 1, ;Jollof, 5, ;Wings, 6, ;Mac & Cheese, 3, ;Wings, 1, ;Jollof, 8, ;Mac & Cheese, 2, ","", "", ""
GAIL,KING,kingg1,1995-07-17,profile_pictures\pic3.png,Room 9,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(561) 742-3921;(943) 570-2414","lad@kupez.gov;uj@orkimfah.com;lad@kupez.gov","JED, EVANS, Daughter, 1974-07-20;ABRAM, PEREZ, Sister, 1986-01-03;OSCAR, TURNER, Daughter-in-Law, 1958-04-07;BRENDAN, CAMPBELL, Daughter, 1961-08-16;JED, JOHNSON, Son, 1945-08-22;NED, COX, Son, 1978-11-15","Rocky, Dog;Bob, Fish;Lucy, Cat;Lucy, Cat;Lucy, Dog;Max, Dog","Pizza, 6, ;Pizza, 3, ;Jollof, 4, ;Jollof, 1, ;Wings, 2, ;Jollof, 5, ","", "", ""
NORBERT,LEE,leen1,1954-01-16,profile_pictures\pic3.png,Room 18,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(838) 727-6573;(561) 742-3921","hohzavi@paw.edu;tifinpim@za.io;lad@kupez.gov","NED, LEE, Son, 1939-08-01","Buddy, Cat","Mac & Cheese, 1, ","", "", ""
ORVILLE,CARTER,cartero2,1936-04-04,profile_pictures\pic2.jpg,Room 6,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(741) 951-5271;(367) 226-2040","gunob@moahu.net;gunob@moahu.net;setosuf@oti.org","","","","", "", ""
BENEDICT,RICHARDSON,richardsonb1,1974-06-24,profile_pictures\pic2.jpg,Room 3,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(874) 381-4941;(500) 244-7083","setosuf@oti.org;johu@codovo.org;fapet@go.edu","YOUNG, MARTINEZ, Son-in-Law, 1951-12-20;XAVIER, CAMPBELL, Father, 1998-12-25;NORBERTO, MITCHELL, Son, 1961-03-08","Buddy, Dog;Rocky, Dog;Bob, Dog","Pizza, 4, ;Mac & Cheese, 2, ;Pizza, 8, ","", "", ""
DEREK,TURNER,turnerd1,1938-02-04,profile_pictures\pic1.jpg,Room 7,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(367) 226-2040;(500) 244-7083","johu@codovo.org;pivop@wewjur.com;mewso@necuwnuk.io","GENARO, KING, Daughter, 1957-03-21;ODIS, MARTINEZ, Father, 1993-08-10;DONNIE, RICHARDSON, Son-in-Law, 2002-04-19;JESS, MITCHELL, Mother, 1981-11-13;GENE, YOUNG, Sister, 1995-02-14;NEIL, LEE, Daughter, 2007-05-09;ZACHARY, RICHARDSON, Daughter-in-Law, 1973-10-16;ABEL, LEE, Father, 1960-05-24","Rocky, Fish;Buddy, Cat;Buddy, Fish;Lucy, Cat;Rocky, Fish;Buddy, Dog;Buddy, Cat;Max, Cat","Jollof, 4, ;Jollof, 6, ;Wings, 4, ;Jollof, 6, ;Jollof, 5, ;Wings, 1, ;Mac & Cheese, 9, ;Jollof, 5, ","", "", ""
ADAM,YOUNG,younga1,1934-01-20,profile_pictures\pic1.jpg,Room 10,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(874) 381-4941;(561) 742-3921;(815) 825-6662","uggako@filse.net;opwankiw@seiteevo.io;fuivif@daunen.gov","CESAR, MITCHELL, Son, 1965-03-08;WYATT, SMITH, Son, 1978-02-25;ABDUL, SANCHEZ, Mother, 2003-03-06;CEDRIC, COX, Father, 1934-06-18;DERICK, RICHARDSON, Son-in-Law, 1977-10-19","Lucy, Fish;Bob, Cat;Rocky, Fish;Bob, Cat;Lucy, Dog","Pizza, 1, ;Mac & Cheese, 5, ;Mac & Cheese, 9, ;Mac & Cheese, 9, ;Jollof, 1, ","", "", ""
Henry,KING,kingh1,1937-01-08,profile_pictures\pic1.jpg,Room 16,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(500) 244-7083;(784) 287-1076","gunob@moahu.net;juh@antof.com;motjeni@muvu.io","ABRAHAM, TURNER, Sister, 1934-06-07;GENE, JOHNSON, Daughter, 1962-06-18;NOLAN, THOMAS, Daughter-in-Law, 2001-03-04;ISAAC, PHILLIPS, Daughter-in-Law, 1994-02-15;GENE, RICHARDSON, Daughter-in-Law, 1957-09-20","Buddy, Cat;Max, Dog;Buddy, Dog;Max, Fish;Buddy, Cat","Wings, 5, ;Wings, 10, ;Pizza, 6, ;Jollof, 7, ;Jollof, 10, ","", "", ""
HERB,PEREZ,perezh1,1974-10-26,profile_pictures\pic3.png,Room 7,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(838) 727-6573;(784) 287-1076","tifinpim@za.io;nashulu@it.gov;setosuf@oti.org","GENE, BAKER, Daughter-in-Law, 1981-08-14;CORY, MITCHELL, Father, 1955-09-10;JEFFEREY, WRIGHT, Mother, 2004-09-04;ZACK, YOUNG, Father, 1932-12-14;ZANE, ALLEN, Daughter-in-Law, 1974-04-04;HERIBERTO, WALKER, Father, 1992-06-10","Rocky, Fish;Buddy, Cat;Bob, Dog;Max, Dog;Bob, Dog;Buddy, Dog","Pizza, 10, ;Jollof, 8, ;Jollof, 7, ;Jollof, 3, ;Pizza, 10, ;Mac & Cheese, 9, ","", "", ""
CEDRICK,RICHARDSON,richardsonc1,1945-01-05,profile_pictures\pic1.jpg,Room 4,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(943) 570-2414;(815) 825-6662","opwankiw@seiteevo.io;uggako@filse.net;fuivif@daunen.gov","YOUNG, CAMPBELL, Daughter, 1968-05-12;CEDRIC, WRIGHT, Son, 2003-10-24;XAVIER, YOUNG, Son-in-Law, 1952-07-22","Rocky, Dog;Buddy, Cat;Bob, Cat","Jollof, 10, ;Jollof, 3, ;Mac & Cheese, 9, ","", "", ""
OSWALDO,WALKER,walkero0,1978-08-16,profile_pictures\pic2.jpg,Room 18,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(943) 570-2414;(838) 727-6573","uj@orkimfah.com;kenna@vecbu.com;gunob@moahu.net","CEDRIC, LEE, Father, 2007-04-19;DOUGLASS, RICHARDSON, Sister, 1988-04-26;OSWALDO, ALLEN, Son, 1964-08-27;JEFFERY, LEE, Son-in-Law, 1947-04-09;BRANDON, COX, Sister, 1961-08-12","Buddy, Dog;Max, Fish;Max, Dog;Bob, Dog;Rocky, Fish","Wings, 9, ;Pizza, 3, ;Jollof, 7, ;Wings, 9, ;Wings, 6, ","", "", ""
YOUNG,ALLEN,alleny0,1974-09-14,profile_pictures\pic2.jpg,Room 8,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(874) 381-4941;(561) 742-3921","me@udaga.net;hohzavi@paw.edu;mewso@necuwnuk.io","CEDRICK, JOHNSON, Daughter, 1932-07-27;AARON, DIAZ, Son-in-Law, 2003-02-11","Buddy, Dog;Lucy, Dog","Wings, 8, ;Wings, 8, ","", "", ""
ADAM,WARD,warda1,2001-02-10,profile_pictures\pic1.jpg,Room 12,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(874) 381-4941;(784) 287-1076","me@udaga.net;setosuf@oti.org;hohzavi@paw.edu","ISAIAH, CARTER, Sister, 2001-11-21;DEREK, ALLEN, Sister, 1951-05-05;HERIBERTO, LEE, Father, 2004-04-19;OSCAR, SANCHEZ, Daughter, 1982-01-09;JEAN, TURNER, Daughter, 2005-09-12;NEIL, MITCHELL, Daughter, 1950-03-16;ISAIAH, JACKSON, Daughter, 1945-03-05;JEFFEREY, TURNER, Daughter-in-Law, 1936-09-16","Rocky, Fish;Buddy, Fish;Lucy, Dog;Bob, Cat;Lucy, Fish;Rocky, Dog;Buddy, Fish;Max, Dog","Pizza, 1, ;Pizza, 3, ;Jollof, 5, ;Mac & Cheese, 9, ;Wings, 6, ;Mac & Cheese, 10, ;Jollof, 3, ;Pizza, 9, ","", "", ""
WYATT,ALLEN,allenw0,1978-05-18,profile_pictures\pic1.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(815) 825-6662;(838) 727-6573","motjeni@muvu.io;lad@kupez.gov;pivop@wewjur.com","GABRIEL, EVANS, Father, 1931-03-08;JEFFERSON, MITCHELL, Daughter, 1994-04-17;BART, WARD, Son-in-Law, 1931-04-09;BRANT, WRIGHT, Father, 2005-06-14;DOYLE, JACKSON, Father, 1943-12-07;BENEDICT, DIAZ, Father, 1967-02-04","Rocky, Cat;Bob, Fish;Bob, Fish;Lucy, Cat;Max, Dog;Buddy, Cat","Jollof, 10, ;Jollof, 7, ;Pizza, 8, ;Jollof, 7, ;Jollof, 2, ;Jollof, 9, ","", "", ""
MOHAMED,WRIGHT,wrightm0,1947-04-13,profile_pictures\pic1.jpg,Room 14,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(367) 226-2040;(561) 742-3921;(874) 381-4941","tifinpim@za.io;kenna@vecbu.com;pivop@wewjur.com","","","","", "", ""
CHAD,SANCHEZ,sanchezc1,1952-12-02,profile_pictures\pic2.jpg,Room 14,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(561) 742-3921;(815) 825-6662","gunob@moahu.net;nupedu@ta.edu;kenna@vecbu.com","OSWALDO, WARD, Sister, 1982-01-20;NOLAN, TURNER, Son-in-Law, 1954-06-05;NED, WARD, Sister, 1943-01-21;OSVALDO, SMITH, Son, 1947-04-19","Rocky, Cat;Lucy, Fish;Max, Cat;Bob, Cat","Wings, 10, ;Jollof, 3, ;Pizza, 4, ;Wings, 7, ","", "", ""
ODIS,CAMPBELL,campbello0,1961-11-22,profile_pictures\pic1.jpg,Room 1,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(815) 825-6662;(741) 951-5271","gunob@moahu.net;gunob@moahu.net;kenna@vecbu.com","HERIBERTO, JOHNSON, Daughter-in-Law, 2002-11-16;JEFFERSON, SANCHEZ, Daughter-in-Law, 1982-07-26","Bob, Dog;Max, Cat","Pizza, 7, ;Pizza, 5, ","", "", ""
DOYLE,DIAZ,diazd0,1938-09-03,profile_pictures\pic3.png,Room 5,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(838) 727-6573;(561) 742-3921;(561) 742-3921","motjeni@muvu.io;setosuf@oti.org;pivop@wewjur.com","","","","", "", ""
